Rank,Movie,Lifetime Gross,Year
516,My Best Friend's Wedding (1997),127120029,1997
517,Super 8 (2011),127004179,2011
518,The World Is Not Enough (1999),126943684,1999
519,Sleepless in Seattle (1993),126808165,1993
520,Smokey and the Bandit (1977),126737428,1977
521,Lucy (2014),126663600,2014
522,The Legend of Tarzan (2016),126643061,2016
523,Bee Movie (2007),126631277,2007
524,Prometheus (2012),126477084,2012
525,Safe House (2012),126373434,2012
526,Mr. Deeds (2002),126293452,2002
527,The Truman Show (1998),125618201,1998
528,Erin Brockovich (2000),125595205,2000
529,Ocean's Twelve (2004),125544280,2004
530,Terminator Salvation (2009),125322469,2009
531,Charlie's Angels (2000),125305545,2000
532,Tomorrow Never Dies (1997),125304276,1997
533,Lone Survivor (2013),125095601,2013
534,Sully (2016),125070033,2016
535,Rocky III (1982),125049125,1982
536,The Vow (2012),125014030,2012
537,Life of Pi (2012),124987023,2012
538,The Fault in Our Stars (2014),124872350,2014
539,Cloudy with a Chance of Meatballs (2009),124870275,2009
540,The Devil Wears Prada (2006),124740460,2006
541,Something's Gotta Give (2003),124728738,2003
542,Traffic (2000),124115725,2000
543,The Birdcage (1996),124060553,1996
544,City Slickers (1991),124033791,1991
545,Good Morning Vietnam (1987),123922370,1987
546,Rango (2011),123477607,2011
547,Nutty Professor II: The Klumps (2000),123309890,2000
548,The Good Dinosaur (2015),123087120,2015
549,G.I. Joe: Retaliation (2013),122523060,2013
550,Clear and Present Danger (1994),122187717,1994
551,The Hunt for Red October (1990),122012643,1990
552,The Bodyguard (1992),122006740,1992
553,Wayne's World (1992),121697323,1992
554,The Bourne Identity (2002),121661683,2002
555,Free Guy (2021),121626598,2021
556,Superbad (2007),121463226,2007
557,Speed (1994),121248145,1994
558,50 First Dates (2004),120908074,2004
559,Mamma Mia! Here We Go Again (2018),120634935,2018
560,Mulan (1998),120620254,1998
561,Inglourious Basterds (2009),120540719,2009
562,Seabiscuit (2003),120277854,2003
563,Van Helsing (2004),120177084,2004
564,Four Christmases (2008),120146040,2008
565,I Now Pronounce You Chuck & Larry (2007),120059556,2007
566,The Mask (1994),119938730,1994
567,Cloudy with a Chance of Meatballs 2 (2013),119793567,2013
568,Hook (1991),119654823,1991
569,Blazing Saddles (1974),119601481,1974
570,Walk the Line (2005),119519402,2005
571,G-Force (2009),119436770,2009
572,Total Recall (1990),119412921,1990
573,On Golden Pond (1981),119285432,1981
574,The Other Guys (2010),119219978,2010
575,Fahrenheit 9/11 (2004),119194771,2004
576,Back to the Future Part II (1989),119000002,1989
577,The Sum of All Fears (2002),118907036,2002
578,Hairspray (2007),118871849,2007
579,The Break-Up (2006),118703275,2006
580,A Series of Unfortunate Events (2004),118634549,2004
581,Blades of Glory (2007),118594548,2007
582,Salt (2010),118311368,2010
583,Basic Instinct (1992),117727224,1992
584,Now You See Me (2013),117723989,2013
585,Ford v Ferrari (2019),117624357,2019
586,Big Momma's House (2000),117559438,2000
587,Die Hard 2 (1990),117540947,1990
588,Horrible Bosses (2011),117538559,2011
589,The Nun (2018),117450119,2018
590,Rocky (1976),117235147,1976
591,Jackass 3D (2010),117229692,2010
592,Ocean's Thirteen (2007),117154724,2007
593,Jungle Cruise (2021),116987516,2021
594,S.W.A.T. (2003),116934650,2003
595,The Wolf of Wall Street (2013),116900694,2013
596,8 Mile (2002),116750901,2002
597,Double Jeopardy (1999),116741558,1999
598,Lee Daniels' The Butler (2013),116632095,2013
599,Green Lantern (2011),116601172,2011
600,Notting Hill (1999),116089678,1999
601,The Towering Inferno (1974),116000000,1974
602,You've Got Mail (1998),115821495,1998
603,Ghost Rider (2007),115802596,2007
604,Remember the Titans (2000),115719751,2000
605,Creed II (2018),115715889,2018
606,District 9 (2009),115646235,2009
607,Unbroken (2014),115637895,2014
608,Peter Rabbit (2018),115253424,2018
609,Big (1988),115227281,1988
610,Girls Trip (2017),115171585,2017
611,The Karate Kid Part II (1986),115103979,1986
612,American Graffiti (1973),115000000,1973
613,Dumbo (2019),114766307,2019
614,Fifty Shades Darker (2017),114581250,2017
615,Dodgeball: A True Underdog Story (2004),114326736,2004
616,The Village (2004),114197520,2004
617,Bolt (2008),114053579,2008
618,Maleficent: Mistress of Evil (2019),113929605,2019
619,Wild Wild West (1999),113804681,1999
620,Night at the Museum: Secret of the Tomb (2014),113746621,2014
621,Magic Mike (2012),113721571,2012
